sp_cat,sp_key,scientific_name_dataset,common_name_dataset,worms_id,gbif_id,redlist_code,rl_score,suitability,suit_rl,pct_total
other,W-Por-167346,Acarnus innominatus,NA,167346,NA,NA,NA,47.29608117050217,NA,NA
crustacean,SLB-23550,Acartia danae,NA,346026,NA,NA,NA,32.633485705295726,NA,NA
crustacean,SLB-23561,Acartia longiremis,NA,346037,NA,NA,NA,50.15624028356446,NA,NA
crustacean,SLB-23562,Acartia negligens,NA,346030,NA,NA,NA,51.41710433699713,NA,NA
crustacean,SLB-23564,Acartia spinata,NA,416443,NA,NA,NA,66.02409592104249,NA,NA
crustacean,SLB-23566,Acartia tonsa,NA,345943,NA,NA,NA,64.16678783472676,NA,NA
crustacean,ITS-89654,Acasta cyathus,sponge barnacle,370509,NA,NA,NA,52.760763133354054,NA,NA
crustacean,SLB-156550,Acasta japonica,NA,534898,NA,NA,NA,28.818443804034583,NA,NA
crustacean,ITS-206259,Acasta spongites,NA,106205,NA,NA,NA,13.22027972027972,NA,NA
crustacean,SLB-156555,Acasta sulcata,NA,534908,NA,NA,NA,28.818443804034583,NA,NA
other,W-Hol-241765,Acaudina molpadioides,NA,241765,NA,NA,NA,15.610951008645532,NA,NA
other,W-Hyd-117260,Acaulis primarius,NA,117260,NA,NA,NA,64.34136429608128,NA,NA
crustacean,W-Iso-258458,Accalathura crenulata,NA,258458,NA,NA,NA,58.89840056728648,NA,NA
fish,Fis-136797,Acentrogobius nebulosus,Shadow goby,312542,NA,NA,NA,8.291615441357266,NA,NA
fish,Fis-54066,Acentrogobius suluensis,Sulu goby,278787,NA,NA,NA,8.128109120085584,NA,NA
fish,Fis-122026,Acentronura breviperula,NA,309247,NA,NA,NA,15.892029395138497,NA,NA
crustacean,SLB-7520,Aceroides latipes,NA,NA,NA,NA,NA,47.82424163520375,NA,NA
mollusk,W-Msc-505414,Acesta rathbuni,Rathbun's giant file shell,505414,NA,NA,NA,9.511811023622048,NA,NA
other,SLB-132879,Acetabularia calyculus,NA,NA,NA,NA,NA,36.435571800272584,NA,NA
other,SLB-132039,Acetabularia crenulata,mermaid's wine glass,NA,NA,NA,NA,40.243394364653,NA,NA
other,SLB-133799,Acetabularia major,Umbrella weed,NA,NA,NA,NA,28.818443804034583,NA,NA
crustacean,ITS-95889,Acetes americanus,aviu shrimp,158344,NA,NA,NA,34.49350402584139,NA,NA
crustacean,SLB-183970,Achaeus curvirostris,NA,362571,NA,NA,NA,3.858079284153574,NA,NA
crustacean,W-Bch-210252,Achaeus lacertosus,NA,210252,NA,NA,NA,10.946896304269824,NA,NA
crustacean,W-Pyc-239888,Achelia alaskensis,NA,239888,NA,NA,NA,31.071287367629726,NA,NA
crustacean,W-Pyc-240271,Achelia assimilis,sea spiders,240271,NA,NA,NA,25.93881675813144,NA,NA
crustacean,W-Pyc-134598,Achelia borealis,NA,134598,NA,NA,NA,56.49978805311648,NA,NA
crustacean,W-Pyc-134599,Achelia echinata,NA,134599,NA,NA,NA,18.79100133403404,NA,NA
crustacean,W-Pyc-239549,Achelia latifrons,NA,239549,NA,NA,NA,47.856039062080804,NA,NA
crustacean,W-Pyc-239483,Achelia nana,NA,239483,NA,NA,NA,25.824137931034482,NA,NA
crustacean,W-Pyc-240194,Achelia pribilofensis,NA,240194,NA,NA,NA,44.23646751234628,NA,NA
crustacean,W-Pyc-239556,Achelia sawayai,NA,239556,NA,NA,NA,48.56529113546559,NA,NA
crustacean,W-Pyc-158475,Achelia scabra,NA,158475,NA,NA,NA,52.061945421061445,NA,NA
crustacean,W-Pyc-158476,Achelia spinosa,NA,158476,NA,NA,NA,53.36565254719948,NA,NA
crustacean,W-Bch-557880,Achelous binoculus,redspotted swimming crab,557880,NA,NA,NA,42.810916179337234,NA,NA
crustacean,W-Bch-451838,Achelous ordwayi,redhair swimming crab,451838,NA,NA,NA,59.37514514791263,NA,NA
mollusk,W-Msc-506568,Acila castrensis,divaricate nutclam,506568,NA,NA,NA,43.211358077781064,NA,NA
mollusk,W-Msc-159951,Acirsa borealis,chalky wentletrap,159951,NA,NA,NA,72.96109316101239,NA,NA
mollusk,W-Msc-368475,Aclis hendersoni,angular aclis,368475,NA,NA,NA,50.796749987576405,NA,NA
mollusk,W-Msc-456582,Acmaea mitra,Dunce cap limpet,456582,5191406,NA,NA,38.48655986967147,NA,NA
other,SLB-156892,Acoetes melanota,NA,NA,NA,NA,NA,14.372434017595308,NA,NA
other,W-Pol-332886,Acoetes pacifica,NA,332886,NA,NA,NA,49.99505109365763,NA,NA
other,W-Pol-326208,Acoetes pleei,NA,326208,NA,NA,NA,65.17601576149586,NA,NA
mollusk,W-Msc-420854,Acorylus gouldii,NA,420854,NA,NA,NA,50.4712218108381,NA,NA
fish,Fis-55105,Acreichthys hajam,NA,277765,NA,DD,NA,23.18443804034582,NA,NA
crustacean,W-Cop-104645,Acrocalanus gibber,NA,104645,NA,NA,NA,11.338749717896638,NA,NA
crustacean,W-Cop-104646,Acrocalanus longicornis,NA,104646,NA,NA,NA,61.36500651427218,NA,NA
other,W-Pol-129739,Acrocirrus frontifilis,NA,129739,NA,NA,NA,41.38925300394925,NA,NA
fish,Fis-47983,Acropoma japonicum,Glowbelly,220048,NA,NA,NA,9,NA,NA
other,SLB-93454,Acropora bifurcata,plating acropora coral,207044,NA,DD,NA,28.994908655286014,NA,NA
other,SLB-93689,Acropora cophodactyla,NA,430641,NA,DD,NA,29.633263535746334,NA,NA
